"","PlusMinus","Turnovers"
"962",-4,1
"1241",-17,0
"2152",-18,1
"3152",-6,2
"4152",-18,3
"5152",2,3
"7152",-4,0
"8152",4,1
"9152",7,1
"1059",-16,1
"1158",6,0
"180",-4,1
"263",5,1
"363",-7,2
"463",1,4
"563",-5,2
"763",3,1
"863",2,1
"963",0,0
"1060",-7,0
"1159",-1,3
"1242",3,0
"1318",0,4
"2153",-3,0
"3153",-1,2
"4153",2,4
"5153",-1,0
"7153",2,0
"8153",2,0
"9153",3,2
"10142",3,2
"11118",3,1
"181",4,2
"264",11,3
"364",12,0
"464",17,3
"564",15,5
"764",11,1
"864",-5,4
"964",0,0
"1061",-1,0
"1160",0,1
"1243",-1,0
"1319",-3,1
"1410",-12,0
"2154",-12,1
"3154",-4,3
"4154",-1,2
"5154",-3,3
"7154",-2,1
"8154",1,1
"9154",-18,1
"10143",-9,2
"182",7,0
"265",0,3
"365",-3,1
"465",-7,5
"565",3,2
"765",-4,1
"865",-12,0
"965",-5,0
"1062",2,1
"1161",-6,2
"1320",6,1
"2155",-10,1
"3155",-4,0
"4155",12,1
"5155",-4,1
"7155",-1,0
"8155",3,0
"9155",-3,1
"10144",12,3
"11119",9,1
"1244",5,1
"183",-10,0
"266",-14,1
"366",-2,2
"466",-25,3
"566",-12,1
"766",-2,0
"866",18,0
"966",13,3
"1063",14,0
"1245",2,2
"2156",13,1
"3156",2,0
"4156",11,2
"5156",14,3
"7156",-6,2
"8156",-9,0
"9156",2,0
"10145",-9,1
"1162",0,1
"184",-5,3
"267",0,0
"367",-6,1
"467",-5,4
"567",6,2
"767",-9,1
"867",-4,1
"967",-16,1
"1064",-6,0
"1163",6,2
"2157",19,1
"3157",-1,2
"4157",14,3
"5157",-1,2
"7157",6,2
"8157",-3,0
"9157",5,0
"185",-4,2
"268",19,2
"368",7,1
"468",11,5
"568",16,1
"768",6,0
"868",-13,1
"968",-7,0
"1065",-3,0
"1164",-12,2
"1246",-11,2
"2158",-16,2
"3158",-17,0
"4158",-16,2
"5158",-10,1
"7158",13,0
"8158",9,2
"9158",10,1
"10146",11,0
"11120",7,4
"186",10,0
"269",-16,2
"369",16,3
"469",0,3
"569",11,0
"769",-5,1
"869",7,1
"969",3,0
"1066",-14,0
"1165",3,0
"1247",-16,1
"2159",-6,1
"3159",1,1
"4159",-4,6
"5159",-15,0
"7159",4,2
"8159",12,0
"9159",6,0
"10147",12,0
"11121",-9,1
"187",8,1
"270",5,2
"370",15,3
"470",14,3
"570",1,1
"770",-15,0
"870",-4,2
"970",-3,0
"1067",-1,1
"1166",0,1
"1248",-2,1
"2160",-2,0
"3160",-1,1
"4160",-1,1
"5160",-4,4
"7160",-12,1
"8160",-6,1
"9160",-2,1
"10148",10,1
"11122",0,1
"188",2,2
"271",4,0
"371",2,5
"471",6,4
"571",6,2
"771",-2,2
"871",9,1
"971",6,1
"1068",-3,0
"1167",5,1
"1249",0,1
"1321",-3,0
"2161",-3,1
"3161",-7,2
"4161",-7,4
"5161",-6,0
"7161",-2,1
"8161",-4,2
"9161",-4,3
"10149",-2,1
"11123",3,1
"189",-10,2
"272",-8,1
"372",-11,1
"472",-14,3
"572",-14,3
"772",-10,0
"872",-7,2
"972",-2,0
"1069",-7,1
"1168",-3,1
"1250",1,0
"1322",22,1
"2162",23,2
"3162",17,1
"4162",19,2
"5162",21,3
"7162",-3,0
"8162",-5,1
"9162",-3,1
"10150",-4,0
"11124",-2,0
"121",0,0
"190",-4,1
"273",-7,2
"373",-15,2
"473",-11,1
"573",4,2
"773",-1,0
"873",-6,2
"973",-3,0
"1070",-7,1
"1251",9,1
"2163",6,3
"3163",-9,2
"4163",3,1
"5163",10,4
"7163",2,0
"8163",3,2
"9163",2,1
"10151",16,2
"1169",8,2
"191",0,0
"274",-1,3
"374",4,0
"474",1,0
"574",-2,1
"774",-10,2
"874",-1,0
"974",0,0
"1071",-3,0
"1170",-3,0
"1252",-5,3
"1323",-2,0
"2164",1,1
"3164",5,2
"4164",1,5
"5164",5,3
"7164",-1,1
"8164",3,0
"9164",6,1
"10152",2,0
"192",-1,2
"275",6,1
"375",2,2
"475",5,2
"575",7,1
"775",11,2
"875",0,0
"975",-2,0
"1072",6,3
"1171",3,0
"1253",3,1
"1324",0,0
"2165",-2,3
"3165",1,0
"4165",-13,2
"5165",-11,0
"7165",3,1
"8165",-7,2
"9165",-8,3
"10153",-5,2
"11125",2,0
"193",0,1
"276",-7,2
"376",-8,0
"476",-9,1
"576",-8,1
"776",-9,0
"876",-11,3
"976",-10,3
"1073",-8,0
"1172",-14,1
"1254",-14,3
"1325",-17,1
"15",7,0
"2166",13,2
"3166",2,1
"4166",7,1
"5166",-7,2
"7166",0,0
"8166",14,1
"9166",23,0
"10154",21,0
"11126",6,1
"12110",17,1
"131",10,1
"1411",2,2
"194",-31,2
"277",-21,0
"377",-13,1
"477",-25,3
"577",-22,3
"777",-7,2
"877",-5,1
"977",-10,1
"1074",-6,2
"1173",-5,0
"1326",22,1
"2167",22,3
"3167",29,1
"4167",23,4
"5167",21,0
"7167",9,0
"8167",3,0
"9167",4,0
"10155",4,0
"11127",4,1
"1255",4,1
"195",-3,1
"278",-6,0
"378",-2,2
"478",-2,2
"578",-6,1
"778",7,2
"878",1,0
"978",2,0
"1075",0,0
"1174",4,0
"1327",-22,1
"2168",7,4
"3168",5,4
"4168",9,4
"5168",-6,0
"7168",11,1
"8168",-7,0
"9168",-2,0
"10156",1,0
"11128",0,2
"1256",9,2
"196",-11,0
"279",-4,2
"379",-1,1
"479",2,4
"579",-2,6
"779",-2,0
"879",7,0
"979",-6,0
"1076",-3,0
"1175",3,4
"2169",0,4
"3169",2,2
"4169",4,5
"5169",7,2
"7169",4,1
"8169",0,0
"9169",1,1
"10157",-1,0
"197",-21,2
"280",-12,3
"380",-12,0
"480",-12,4
"580",-6,1
"780",-3,4
"880",-6,1
"980",-3,0
"1077",-10,1
"1176",-5,1
"1328",12,0
"2170",8,0
"3170",15,3
"4170",9,1
"5170",1,0
"7170",10,0
"8170",15,3
"9170",-5,1
"10158",-5,1
"11129",11,0
"1257",19,2
"198",13,1
"281",9,2
"381",-6,1
"481",1,2
"581",8,4
"781",-19,0
"881",-20,1
"981",-13,0
"1078",-8,0
"1177",-12,1
"2171",2,4
"3171",2,2
"4171",-6,5
"5171",-4,2
"7171",13,3
"8171",13,1
"9171",11,0
"10159",16,2
"199",-10,0
"282",-6,3
"382",-9,5
"482",-6,1
"582",-4,2
"782",-9,0
"882",-1,1
"982",1,1
"1079",2,0
"1178",7,0
"1258",-2,2
"2172",3,1
"3172",4,1
"4172",9,4
