"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","POS","POPM","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"59","Erica Wheeler",2019,28,"IND",1.4,34,34,850,127,5.37882352941176,298,12.6211764705882,79,3.34588235294118,173,7.32705882352941,48,2.03294117647059,125,5.29411764705882,41,1.73647058823529,47,1.99058823529412,5,0.211764705882353,102,4.32,97,4.10823529411765,171,7.24235294117647,40,1.69411764705882,5,0.211764705882353,97,4.10823529411765,74,3.13411764705882,343,14.5270588235294,4464,189.063529411765,0.426,0.872,0.457,0.384,0.507,3.73526473303062,-0.0994196540661057,80000
"60","Essence Carson",2019,32,"PHO",0.4,23,13,425,45,3.81176470588235,128,10.8423529411765,31,2.62588235294118,87,7.36941176470588,14,1.18588235294118,41,3.47294117647059,29,2.45647058823529,37,3.13411764705882,11,0.931764705882353,51,4.32,40,3.38823529411765,35,2.96470588235294,12,1.01647058823529,8,0.677647058823529,17,1.44,23,1.94823529411765,133,11.2658823529412,273,23.1247058823529,0.352,0.784,0.356,0.341,0.406,-1.06747521555343,-0.109345426873734,85000
"61","Gabby Williams",2019,22,"CHI",0,33,2,527,75,5.12333965844402,181,12.3643263757116,68,4.64516129032258,140,9.56356736242884,7,0.478178368121442,41,2.80075901328273,29,1.98102466793169,40,2.73244781783681,14,0.956356736242884,72,4.91840607210626,58,3.96204933586338,68,4.64516129032258,23,1.57115749525617,7,0.478178368121442,55,3.75711574952562,41,2.80075901328273,186,12.7058823529412,4001,273.313092979127,0.414,0.725,0.486,0.171,0.434,5.35375850823937,0.929743176037585,53616
"62","Glory Johnson",2019,28,"DAL",1.2,28,19,676,78,4.15384615384615,214,11.396449704142,43,2.28994082840237,111,5.9112426035503,35,1.86390532544379,103,5.48520710059172,14,0.745562130177515,24,1.27810650887574,27,1.43786982248521,144,7.66863905325444,117,6.23076923076923,39,2.07692307692308,39,2.07692307692308,18,0.958579881656805,28,1.49112426035503,45,2.39644970414201,205,10.9171597633136,2190,116.627218934911,0.364,0.583,0.387,0.34,0.446,-0.823321041481274,-0.359408706959205,117500
"63","Haley Peters",2019,26,"ATL",-0.2,4,0,26,0,0,7,9.69230769230769,0,0,7,9.69230769230769,0,0,0,0,2,2.76923076923077,2,2.76923076923077,1,1.38461538461538,2,2.76923076923077,1,1.38461538461538,1,1.38461538461538,1,1.38461538461538,1,1.38461538461538,4,5.53846153846154,3,4.15384615384615,2,2.76923076923077,1675,2319.23076923077,0,1,0,NA,0,-14.0920477757359,-0.688619205163711,41695
"64","Han Xu",2019,19,"NYL",0,18,0,143,24,6.04195804195804,58,14.6013986013986,19,4.78321678321678,48,12.0839160839161,5,1.25874125874126,10,2.51748251748252,1,0.251748251748252,2,0.503496503496504,2,0.503496503496504,15,3.77622377622378,13,3.27272727272727,2,0.503496503496504,3,0.755244755244755,4,1.00699300699301,2,0.503496503496504,6,1.51048951048951,54,13.5944055944056,828,208.447552447552,0.414,0.5,0.396,0.5,0.457,-16.2877643509727,-1.71910272949138,42570
"65","Imani McGee-Stafford",2019,24,"DAL",0.4,29,6,346,51,5.30635838150289,109,11.3410404624277,50,5.20231213872832,105,10.9248554913295,1,0.104046242774566,4,0.416184971098266,9,0.936416184971098,14,1.45664739884393,44,4.57803468208092,111,11.5491329479769,67,6.97109826589595,18,1.8728323699422,17,1.76878612716763,18,1.8728323699422,34,3.53757225433526,58,6.03468208092486,112,11.6531791907514,937,97.4913294797688,0.468,0.643,0.476,0.25,0.472,2.47364987488909,0.284504918126118,53290
"66","Isabelle Harrison",2019,25,"DAL",1.6,31,29,794,110,4.98740554156171,241,10.9269521410579,110,4.98740554156171,235,10.6549118387909,0,0,6,0.272040302267002,48,2.17632241813602,67,3.03778337531486,72,3.26448362720403,181,8.20654911838791,109,4.94206549118388,42,1.90428211586902,35,1.58690176322418,25,1.13350125944584,48,2.17632241813602,80,3.6272040302267,268,12.1511335012594,2653,120.287153652393,0.456,0.716,0.468,0,0.456,2.06817675629321,0.359348091306898,53290
"67","Jackie Young",2019,21,"LVA",1.3,34,34,767,76,3.56714471968709,236,11.0769230769231,62,2.91003911342894,192,9.01173402868318,14,0.657105606258149,44,2.0651890482399,59,2.76923076923077,73,3.42633637548892,23,1.07953063885267,111,5.20990873533246,88,4.13037809647979,153,7.18122555410691,26,1.22033898305085,12,0.563233376792699,53,2.48761408083442,47,2.20599739243807,225,10.5606258148631,409,19.1968709256845,0.322,0.808,0.323,0.318,0.352,1.30765202626792,0.269461455249774,53537
"68","Jaime Nared",2019,23,"LVA",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,691,24876,NA,NA,NA,NA,NA,-3.92697170970094,-0.0188388977576999,5446
"69","Jamierra Faulkner",2019,27,"CHI",0,13,0,72,6,3,18,9,5,2.5,9,4.5,1,0.5,9,4.5,4,2,8,4,2,1,4,2,2,1,11,5.5,2,1,0,0,5,2.5,8,4,17,8.5,3664,1832,0.333,0.5,0.556,0.111,0.361,-0.945370086196697,-0.235338452191446,62000
"70","Jantel Lavender",2019,30,"CHI",1.3,23,22,619,103,5.99030694668821,210,12.2132471728595,97,5.64135702746365,183,10.642972536349,6,0.348949919224556,27,1.5702746365105,19,1.10500807754443,21,1.22132471728595,46,2.67528271405493,158,9.18901453957997,112,6.51373182552504,26,1.51211631663974,7,0.407108239095315,13,0.756058158319871,32,1.8610662358643,34,1.97738287560582,231,13.4345718901454,3487,202.798061389338,0.49,0.905,0.53,0.222,0.505,-2.03190930319832,-0.191636459589426,115000
