"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","POS","POPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"88","Kayla Thornton",2019,26,"DAL",0.6,27,25,822,30.4444444444444,99,3.66666666666667,289,10.7037037037037,71,2.62962962962963,186,6.88888888888889,28,1.03703703703704,103,3.81481481481481,54,2,58,2.14814814814815,94,3.48148148148148,49,1.81481481481481,143,5.2962962962963,48,1.77777777777778,25,0.925925925925926,8,0.296296296296296,44,1.62962962962963,60,2.22222222222222,280,10.3703703703704,659,24.4074074074074,0.343,0.931,0.382,0.272,0.391,1.99483066102099,0.558471092648933,86000
"89","Kelsey Mitchell",2019,23,"IND",1.1,34,20,852,25.0588235294118,167,4.91176470588235,432,12.7058823529412,88,2.58823529411765,221,6.5,79,2.32352941176471,211,6.20588235294118,51,1.5,61,1.79411764705882,52,1.52941176470588,4,0.117647058823529,56,1.64705882352941,90,2.64705882352941,15,0.441176470588235,4,0.117647058823529,57,1.67647058823529,57,1.67647058823529,464,13.6470588235294,525,15.4411764705882,0.387,0.836,0.398,0.374,0.478,7.1373254703237,0.925123972913255,53616
"90","Kelsey Plum",2019,24,"LVA",1.2,34,30,868,25.5294117647059,107,3.14705882352941,293,8.61764705882353,62,1.82352941176471,168,4.94117647058824,45,1.32352941176471,125,3.67647058823529,34,1,39,1.14705882352941,82,2.41176470588235,15,0.441176470588235,97,2.85294117647059,102,3,27,0.794117647058823,4,0.117647058823529,53,1.55882352941176,76,2.23529411764706,293,8.61764705882353,2447,71.9705882352941,0.365,0.872,0.369,0.36,0.442,0.0368316375593414,-0.0160241029459508,57886
"91","Kenisha Bell",2019,23,"MIN",0,3,0,11,3.66666666666667,0,0,1,0.333333333333333,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0,0,1,0.333333333333333,1,0.333333333333333,0,0,4253,1417.66666666667,0,NA,NA,0,0,7.13861315596048,0.232975571219388,41695
"92","Kennedy Burke",2019,22,"IND",0.6,31,7,423,13.6451612903226,45,1.45161290322581,117,3.7741935483871,31,1,77,2.48387096774194,14,0.451612903225806,40,1.29032258064516,31,1,44,1.41935483870968,27,0.870967741935484,18,0.580645161290323,45,1.45161290322581,22,0.709677419354839,18,0.580645161290323,10,0.32258064516129,21,0.67741935483871,30,0.967741935483871,135,4.35483870967742,2148,69.2903225806452,0.385,0.705,0.403,0.35,0.444,6.68148132199307,0.779115420731768,41965
"93","Kia Nurse",2019,23,"NYL",1.9,34,34,1001,29.4411764705882,142,4.17647058823529,361,10.6176470588235,77,2.26470588235294,177,5.20588235294118,65,1.91176470588235,184,5.41176470588235,116,3.41176470588235,133,3.91176470588235,66,1.94117647058824,19,0.558823529411765,85,2.5,78,2.29411764705882,25,0.735294117647059,4,0.117647058823529,56,1.64705882352941,60,1.76470588235294,465,13.6764705882353,130,3.82352941176471,0.393,0.872,0.435,0.353,0.483,9.78565062321983,1.95665824005775,44273
"94","Kim Mestdagh",2019,29,"WAS",0.1,15,0,71,4.73333333333333,7,0.466666666666667,18,1.2,1,0.0666666666666667,3,0.2,6,0.4,15,1,2,0.133333333333333,2,0.133333333333333,3,0.2,1,0.0666666666666667,4,0.266666666666667,6,0.4,2,0.133333333333333,0,0,6,0.4,5,0.333333333333333,22,1.46666666666667,4281,285.4,0.389,1,0.333,0.4,0.556,-9.2483772925725,-0.696170026397448,41965
"95","Kristi Toliver",2019,32,"WAS",3.3,23,23,678,29.4782608695652,116,5.04347826086957,235,10.2173913043478,80,3.47826086956522,135,5.8695652173913,36,1.56521739130435,100,4.34782608695652,30,1.30434782608696,35,1.52173913043478,56,2.43478260869565,11,0.478260869565217,67,2.91304347826087,137,5.95652173913043,27,1.17391304347826,2,0.0869565217391304,47,2.04347826086957,31,1.34782608695652,298,12.9565217391304,1723,74.9130434782609,0.494,0.857,0.593,0.36,0.57,-3.33143374765247,-0.663818934823831,115000
"96","Kristine Anigwe",2019,22,"TOT",0.1,27,0,250,9.25925925925926,22,0.814814814814815,68,2.51851851851852,22,0.814814814814815,68,2.51851851851852,0,0,0,0,22,0.814814814814815,32,1.18518518518519,38,1.40740740740741,28,1.03703703703704,66,2.44444444444444,6,0.222222222222222,9,0.333333333333333,8,0.296296296296296,17,0.62962962962963,39,1.44444444444444,66,2.44444444444444,823,30.4814814814815,0.324,0.688,0.324,NA,0.324,5.8206432078234,0.5750413956104,44207
"97","LaToya Sanders",2019,32,"WAS",3.4,34,34,804,23.6470588235294,87,2.55882352941176,172,5.05882352941176,87,2.55882352941176,172,5.05882352941176,0,0,0,0,33,0.970588235294118,37,1.08823529411765,142,4.17647058823529,44,1.29411764705882,186,5.47058823529412,66,1.94117647058824,30,0.882352941176471,47,1.38235294117647,30,0.882352941176471,71,2.08823529411765,207,6.08823529411765,358,10.5294117647059,0.506,0.892,0.506,NA,0.506,7.81183847859467,1.68124280330863,115000
