"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"148","Temi Fagbenle",2019,26,"MIN",0.2,18,0,271,15.0555555555556,42,2.33333333333333,81,4.5,41,2.27777777777778,75,4.16666666666667,1,0.0555555555555556,6,0.333333333333333,13,0.722222222222222,18,1,30,1.66666666666667,22,1.22222222222222,52,2.88888888888889,15,0.833333333333333,6,0.333333333333333,6,0.333333333333333,32,1.77777777777778,41,2.27777777777778,98,5.44444444444444,0.519,0.722,0.547,0.167,0.525,-0.168779547755308,0.0915214991069143,48564
"149","Theresa Plaisance",2019,27,"TOT",0.7,31,12,442,14.258064516129,54,1.74193548387097,146,4.70967741935484,29,0.935483870967742,73,2.35483870967742,25,0.806451612903226,73,2.35483870967742,21,0.67741935483871,26,0.838709677419355,89,2.87096774193548,24,0.774193548387097,113,3.64516129032258,34,1.09677419354839,9,0.290322580645161,19,0.612903225806452,31,1,65,2.09677419354839,154,4.96774193548387,0.37,0.808,0.397,0.342,0.455,6.48279989790053,1.05390714604437,104000
"150","Tianna Hawkins",2019,28,"WAS",2.7,31,1,477,15.3870967741935,113,3.64516129032258,220,7.09677419354839,80,2.58064516129032,129,4.16129032258065,33,1.06451612903226,91,2.93548387096774,37,1.19354838709677,40,1.29032258064516,82,2.64516129032258,47,1.51612903225806,129,4.16129032258065,23,0.741935483870968,14,0.451612903225806,4,0.129032258064516,35,1.12903225806452,77,2.48387096774194,296,9.54838709677419,0.514,0.925,0.62,0.363,0.589,2.5594008847907,0.0593866389853669,70000
"151","Tierra Ruffin-Pratt",2019,28,"LAS",1.5,34,33,856,25.1764705882353,72,2.11764705882353,196,5.76470588235294,47,1.38235294117647,123,3.61764705882353,25,0.735294117647059,73,2.14705882352941,35,1.02941176470588,41,1.20588235294118,63,1.85294117647059,20,0.588235294117647,83,2.44117647058824,57,1.67647058823529,26,0.764705882352941,20,0.588235294117647,29,0.852941176470588,91,2.67647058823529,204,6,0.367,0.854,0.382,0.342,0.431,-4.23826920984023,-1.05570922729262,56375
"152","Tiffany Bias",2019,27,"NYL",-0.3,12,0,105,8.75,7,0.583333333333333,28,2.33333333333333,4,0.333333333333333,9,0.75,3,0.25,19,1.58333333333333,6,0.5,7,0.583333333333333,6,0.5,0,0,6,0.5,11,0.916666666666667,3,0.25,0,0,8,0.666666666666667,7,0.583333333333333,23,1.91666666666667,0.25,0.857,0.444,0.158,0.304,4.27884469433617,0.357113677799569,NA
"153","Tiffany Hayes",2019,29,"ATL",1,29,29,817,28.1724137931034,147,5.06896551724138,374,12.8965517241379,111,3.82758620689655,257,8.86206896551724,36,1.24137931034483,117,4.03448275862069,97,3.3448275862069,127,4.37931034482759,66,2.27586206896552,21,0.724137931034483,87,3,82,2.82758620689655,29,1,8,0.275862068965517,70,2.41379310344828,71,2.44827586206897,427,14.7241379310345,0.393,0.764,0.432,0.308,0.441,-8.57327037678485,-1.85556176943091,115260
"154","Tiffany Mitchell",2019,24,"IND",0.8,33,14,831,25.1818181818182,109,3.3030303030303,286,8.66666666666667,89,2.6969696969697,217,6.57575757575758,20,0.606060606060606,69,2.09090909090909,83,2.51515151515152,93,2.81818181818182,73,2.21212121212121,22,0.666666666666667,95,2.87878787878788,71,2.15151515151515,19,0.575757575757576,3,0.0909090909090909,55,1.66666666666667,83,2.51515151515152,321,9.72727272727273,0.381,0.892,0.41,0.29,0.416,6.5874578546665,0.700409289193692,53290
"155","Tina Charles",2019,30,"NYL",-0.1,33,33,1028,31.1515151515152,220,6.66666666666667,566,17.1515151515152,209,6.33333333333333,507,15.3636363636364,11,0.333333333333333,59,1.78787878787879,108,3.27272727272727,133,4.03030303030303,184,5.57575757575758,65,1.96969696969697,249,7.54545454545455,78,2.36363636363636,23,0.696969696969697,29,0.878787878787879,85,2.57575757575758,92,2.78787878787879,559,16.9393939393939,0.389,0.812,0.412,0.186,0.398,-6.05937337935172,-1.26281417549524,117500
"156","Victoria Macaulay",2019,28,"CHI",0.1,5,0,22,4.4,2,0.4,5,1,2,0.4,5,1,0,0,0,0,2,0.4,2,0.4,3,0.6,1,0.2,4,0.8,0,0,2,0.4,1,0.2,0,0,3,0.6,6,1.2,0.4,1,0.4,NA,0.4,-2.565533220736,-0.0933557537378594,NA
"157","Yvonne Turner",2019,31,"PHO",-0.3,29,14,595,20.5172413793103,59,2.03448275862069,172,5.93103448275862,33,1.13793103448276,93,3.20689655172414,26,0.896551724137931,79,2.72413793103448,43,1.48275862068966,49,1.68965517241379,72,2.48275862068966,8,0.275862068965517,80,2.75862068965517,67,2.31034482758621,18,0.620689655172414,2,0.0689655172413793,59,2.03448275862069,37,1.27586206896552,187,6.44827586206897,0.343,0.878,0.355,0.329,0.419,3.39458207135936,0.73430350348939,41965
