"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","APM","RAPM","Salary"
"14","Anriel Howard",2019,22,"SEA",0,3,0,20,2,3.6,5,9,1,1.8,3,5.4,1,1.8,2,3.6,0,0,0,0,2,3.6,3,5.4,1,1.8,0,0,1,1.8,0,0,2,3.6,4,7.2,5,9,8.94,0.243,5122
"15","Arica Carter",2019,22,"PHO",-0.1,6,0,24,1,1.5,5,7.5,1,1.5,1,1.5,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1.5,1,1.5,0,0,2,3,5,7.5,2,3,-12.04,-0.671,41965
"16","Ariel Atkins",2019,22,"WAS",3,33,33,804,123,5.507,296,13.254,72,3.224,153,6.851,51,2.284,143,6.403,43,1.925,53,2.373,24,1.075,93,4.164,69,3.09,65,2.91,48,2.149,18,0.806,34,1.522,73,3.269,340,15.224,-0.959,-0.067,49611
"17","Arike Ogunbowale",2019,22,"DAL",2.7,33,28,1059,214,7.275,551,18.731,157,5.337,389,13.224,57,1.938,162,5.507,145,4.929,178,6.051,20,0.68,80,2.72,60,2.04,106,3.603,35,1.19,1,0.034,68,2.312,85,2.89,630,21.416,-3.292,-0.585,49539
"18","Ashley Walker",2019,32,"LAS",-0.1,3,0,22,1,1.636,11,18,1,1.636,6,9.818,0,0,5,8.182,0,0,0,0,2,3.273,3,4.909,1,1.636,3,4.909,1,1.636,0,0,0,0,4,6.545,2,3.273,14.38,0.623,56375
"19","Asia Durr",2019,22,"NYL",0.4,18,15,480,71,5.325,152,11.4,56,4.2,101,7.575,15,1.125,51,3.825,18,1.35,22,1.65,5,0.375,29,2.175,24,1.8,31,2.325,10,0.75,7,0.525,21,1.575,34,2.55,175,13.125,1.434,0.209,53537
"20","Asia Taylor",2019,27,"TOT",0,12,0,96,10,3.75,28,10.5,10,3.75,26,9.75,0,0,2,0.75,6,2.25,8,3,8,3,21,7.875,13,4.875,8,3,2,0.75,1,0.375,7,2.625,10,3.75,26,9.75,13.328,1.352,56375
"21","Astou Ndour",2019,24,"CHI",1.3,21,11,368,58,5.674,118,11.543,44,4.304,85,8.315,14,1.37,33,3.228,13,1.272,18,1.761,30,2.935,88,8.609,58,5.674,14,1.37,10,0.978,14,1.37,14,1.37,36,3.522,143,13.989,-6.085,-1.016,65000
"22","Avery Warley-Talbert",2019,32,"NYL",-0.2,3,0,35,1,1.029,5,5.143,1,1.029,5,5.143,0,0,0,0,1,1.029,2,2.057,3,3.086,7,7.2,4,4.114,0,0,0,0,2,2.057,4,4.114,7,7.2,3,3.086,-20.569,-1.065,41695
"23","Azura Stevens",2019,23,"DAL",-0.1,9,1,144,19,4.75,53,13.25,18,4.5,44,11,1,0.25,9,2.25,4,1,5,1.25,15,3.75,32,8,17,4.25,5,1.25,5,1.25,10,2.5,9,2.25,12,3,43,10.75,-7.69,-0.939,49611
"24","Betnijah Laney",2019,25,"IND",0.1,34,27,877,77,3.161,213,8.743,57,2.34,147,6.034,20,0.821,66,2.709,18,0.739,31,1.273,32,1.314,143,5.87,111,4.556,59,2.422,48,1.97,4,0.164,49,2.011,55,2.258,192,7.881,0.771,-0.571,72500
"25","Blake Dietrick",2019,25,"SEA",-0.2,17,1,106,1,0.34,10,3.396,1,0.34,4,1.358,0,0,6,2.038,4,1.358,6,2.038,1,0.34,10,3.396,9,3.057,16,5.434,3,1.019,2,0.679,10,3.396,14,4.755,6,2.038,-7.471,-0.902,41695
"26","Bria Hartley",2019,26,"NYL",0.3,24,18,545,79,5.218,210,13.872,55,3.633,137,9.05,24,1.585,73,4.822,53,3.501,66,4.36,18,1.189,77,5.086,59,3.897,76,5.02,18,1.189,1,0.066,50,3.303,55,3.633,235,15.523,-3.286,-0.605,102000
"27","Bria Holmes",2019,25,"CON",0.8,34,0,529,77,5.24,193,13.134,57,3.879,130,8.847,20,1.361,63,4.287,39,2.654,58,3.947,10,0.681,49,3.335,39,2.654,31,2.11,16,1.089,7,0.476,30,2.042,36,2.45,213,14.495,-3.491,-0.805,53290
"28","Briann January",2019,32,"PHO",0.5,32,26,852,71,3,182,7.69,40,1.69,100,4.225,31,1.31,82,3.465,36,1.521,43,1.817,6,0.254,42,1.775,36,1.521,103,4.352,26,1.099,3,0.127,54,2.282,67,2.831,209,8.831,6.376,1.608,117500
"29","Brianna Turner",2019,22,"PHO",1.4,29,12,462,49,3.818,91,7.091,49,3.818,91,7.091,0,0,0,0,19,1.481,26,2.026,45,3.506,120,9.351,75,5.844,15,1.169,7,0.545,21,1.636,19,1.481,50,3.896,117,9.117,-2.086,-0.408,44207
"30","Bridget Carleton",2019,22,"TOT",-0.1,8,0,40,1,0.9,8,7.2,0,0,4,3.6,1,0.9,4,3.6,0,0,0,0,1,0.9,4,3.6,3,2.7,1,0.9,0,0,0,0,1,0.9,2,1.8,3,2.7,4.305,0.336,41695
"31","Brionna Jones",2019,23,"CON",0.7,27,0,227,35,5.551,75,11.894,35,5.551,74,11.736,0,0,1,0.159,24,3.806,36,5.709,37,5.868,59,9.357,22,3.489,9,1.427,9,1.427,7,1.11,19,3.013,36,5.709,94,14.907,10.439,1.177,53563
"32","Brittany Boyd",2019,26,"NYL",0,33,17,649,71,3.938,180,9.985,64,3.55,157,8.709,7,0.388,23,1.276,26,1.442,34,1.886,27,1.498,121,6.712,94,5.214,151,8.376,47,2.607,4,0.222,81,4.493,68,3.772,175,9.707,-6.397,-1.442,80000
"33","Brittney Griner",2019,28,"PHO",5,31,31,1018,270,9.548,479,16.939,269,9.513,476,16.833,1,0.035,3,0.106,101,3.572,125,4.42,51,1.804,222,7.851,171,6.047,75,2.652,22,0.778,62,2.193,76,2.688,85,3.006,642,22.703,1.571,0.415,115000
"34","Brittney Sykes",2019,25,"ATL",0,34,27,880,128,5.236,351,14.359,100,4.091,243,9.941,28,1.145,108,4.418,64,2.618,91,3.723,25,1.023,151,6.177,126,5.155,85,3.477,20,0.818,16,0.655,68,2.782,59,2.414,348,14.236,0.203,0.375,53563
"35","Brooke McCarty-Williams",2019,23,"DAL",0,34,3,447,26,2.094,90,7.248,8,0.644,40,3.221,18,1.45,50,4.027,11,0.886,12,0.966,10,0.805,45,3.624,35,2.819,64,5.154,16,1.289,1,0.081,29,2.336,42,3.383,81,6.523,-6.859,-1.235,41965
"36","Camille Little",2019,34,"PHO",0.6,29,0,425,40,3.388,92,7.793,33,2.795,71,6.014,7,0.593,21,1.779,25,2.118,31,2.626,19,1.609,69,5.845,50,4.235,23,1.948,11,0.932,8,0.678,25,2.118,51,4.32,112,9.487,1.791,0.352,101000
"37","Candace Parker",2019,33,"LAS",1.8,22,22,571,89,5.611,211,13.303,73,4.602,151,9.52,16,1.009,60,3.783,53,3.342,67,4.224,24,1.513,140,8.827,116,7.313,76,4.792,23,1.45,17,1.072,54,3.405,39,2.459,247,15.573,10.654,2.365,117500
"38","Candice Dupree",2019,34,"IND",1.6,34,34,1043,174,6.006,369,12.736,174,6.006,366,12.633,0,0,3,0.104,47,1.622,56,1.933,24,0.828,169,5.833,145,5.005,86,2.968,15,0.518,19,0.656,52,1.795,34,1.174,395,13.634,-8.214,-0.797,117500
"39","Carolyn Swords",2019,29,"LVA",0.4,29,4,257,32,4.482,73,10.226,32,4.482,73,10.226,0,0,0,0,11,1.541,13,1.821,19,2.661,63,8.825,44,6.163,10,1.401,7,0.981,3,0.42,17,2.381,27,3.782,75,10.506,-1.18,-0.22,83300
"40","Chelsea Gray",2019,26,"LAS",2.4,34,34,1108,188,6.108,452,14.686,138,4.484,321,10.43,50,1.625,131,4.256,66,2.144,72,2.339,14,0.455,128,4.159,114,3.704,202,6.563,33,1.072,3,0.097,108,3.509,49,1.592,492,15.986,-0.53,0.078,115000
