"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"29","Brianna Turner",2019,22,"PHO",1.4,29,12,462,15.931,49,1.69,91,3.138,49,1.69,91,3.138,0,0,0,0,19,0.655,26,0.897,75,2.586,45,1.552,120,4.138,15,0.517,7,0.241,21,0.724,19,0.655,50,1.724,117,4.034,0.538,0.731,0.538,NA,0.538,-2.086,-0.408,44207
"30","Bridget Carleton",2019,22,"TOT",-0.1,8,0,40,5,1,0.125,8,1,0,0,4,0.5,1,0.125,4,0.5,0,0,0,0,3,0.375,1,0.125,4,0.5,1,0.125,0,0,0,0,1,0.125,2,0.25,3,0.375,0.125,NA,0,0.25,0.188,4.305,0.336,NA
"31","Brionna Jones",2019,23,"CON",0.7,27,0,227,8.407,35,1.296,75,2.778,35,1.296,74,2.741,0,0,1,0.037,24,0.889,36,1.333,22,0.815,37,1.37,59,2.185,9,0.333,9,0.333,7,0.259,19,0.704,36,1.333,94,3.481,0.467,0.667,0.473,0,0.467,10.439,1.177,53563
"32","Brittany Boyd",2019,26,"NYL",0,33,17,649,19.667,71,2.152,180,5.455,64,1.939,157,4.758,7,0.212,23,0.697,26,0.788,34,1.03,94,2.848,27,0.818,121,3.667,151,4.576,47,1.424,4,0.121,81,2.455,68,2.061,175,5.303,0.394,0.765,0.408,0.304,0.414,-6.397,-1.442,80000
"33","Brittney Griner",2019,28,"PHO",5,31,31,1018,32.839,270,8.71,479,15.452,269,8.677,476,15.355,1,0.032,3,0.097,101,3.258,125,4.032,171,5.516,51,1.645,222,7.161,75,2.419,22,0.71,62,2,76,2.452,85,2.742,642,20.71,0.564,0.808,0.565,0.333,0.565,1.571,0.415,115000
"34","Brittney Sykes",2019,25,"ATL",0,34,27,880,25.882,128,3.765,351,10.324,100,2.941,243,7.147,28,0.824,108,3.176,64,1.882,91,2.676,126,3.706,25,0.735,151,4.441,85,2.5,20,0.588,16,0.471,68,2,59,1.735,348,10.235,0.365,0.703,0.412,0.259,0.405,0.203,0.375,53563
"35","Brooke McCarty-Williams",2019,23,"DAL",0,34,3,447,13.147,26,0.765,90,2.647,8,0.235,40,1.176,18,0.529,50,1.471,11,0.324,12,0.353,35,1.029,10,0.294,45,1.324,64,1.882,16,0.471,1,0.029,29,0.853,42,1.235,81,2.382,0.289,0.917,0.2,0.36,0.389,-6.859,-1.235,41965
"36","Camille Little",2019,34,"PHO",0.6,29,0,425,14.655,40,1.379,92,3.172,33,1.138,71,2.448,7,0.241,21,0.724,25,0.862,31,1.069,50,1.724,19,0.655,69,2.379,23,0.793,11,0.379,8,0.276,25,0.862,51,1.759,112,3.862,0.435,0.806,0.465,0.333,0.473,1.791,0.352,101000
"37","Candace Parker",2019,33,"LAS",1.8,22,22,571,25.955,89,4.045,211,9.591,73,3.318,151,6.864,16,0.727,60,2.727,53,2.409,67,3.045,116,5.273,24,1.091,140,6.364,76,3.455,23,1.045,17,0.773,54,2.455,39,1.773,247,11.227,0.422,0.791,0.483,0.267,0.46,10.654,2.365,117500
"38","Candice Dupree",2019,34,"IND",1.6,34,34,1043,30.676,174,5.118,369,10.853,174,5.118,366,10.765,0,0,3,0.088,47,1.382,56,1.647,145,4.265,24,0.706,169,4.971,86,2.529,15,0.441,19,0.559,52,1.529,34,1,395,11.618,0.472,0.839,0.475,0,0.472,-8.214,-0.797,117500
"39","Carolyn Swords",2019,29,"LVA",0.4,29,4,257,8.862,32,1.103,73,2.517,32,1.103,73,2.517,0,0,0,0,11,0.379,13,0.448,44,1.517,19,0.655,63,2.172,10,0.345,7,0.241,3,0.103,17,0.586,27,0.931,75,2.586,0.438,0.846,0.438,NA,0.438,-1.18,-0.22,83300
"40","Chelsea Gray",2019,26,"LAS",2.4,34,34,1108,32.588,188,5.529,452,13.294,138,4.059,321,9.441,50,1.471,131,3.853,66,1.941,72,2.118,114,3.353,14,0.412,128,3.765,202,5.941,33,0.971,3,0.088,108,3.176,49,1.441,492,14.471,0.416,0.917,0.43,0.382,0.471,-0.53,0.078,115000
"41","Cheyenne Parker",2019,26,"CHI",2.6,34,0,670,19.706,107,3.147,233,6.853,102,3,215,6.324,5,0.147,18,0.529,80,2.353,95,2.794,135,3.971,62,1.824,197,5.794,30,0.882,25,0.735,42,1.235,45,1.324,81,2.382,299,8.794,0.459,0.842,0.474,0.278,0.47,-8.236,-1.746,110000
"42","Chiney Ogwumike",2019,27,"LAS",3,32,14,697,21.781,125,3.906,253,7.906,124,3.875,249,7.781,1,0.031,4,0.125,55,1.719,68,2.125,103,3.219,81,2.531,184,5.75,25,0.781,33,1.031,23,0.719,42,1.312,110,3.438,306,9.562,0.494,0.809,0.498,0.25,0.496,2.891,0.545,117500
"43","Chloe Jackson",2019,22,"CHI",-0.2,8,0,32,4,2,0.25,9,1.125,2,0.25,9,1.125,0,0,0,0,1,0.125,6,0.75,3,0.375,3,0.375,6,0.75,4,0.5,5,0.625,0,0,6,0.75,1,0.125,5,0.625,0.222,0.167,0.222,NA,0.222,6.607,0.365,NA
"44","Courtney Paris",2019,31,"SEA",0.3,30,0,190,6.333,6,0.2,15,0.5,6,0.2,15,0.5,0,0,0,0,3,0.1,7,0.233,39,1.3,13,0.433,52,1.733,13,0.433,8,0.267,3,0.1,9,0.3,18,0.6,15,0.5,0.4,0.429,0.4,NA,0.4,-13.01,-1.421,111000
"45","Courtney Vandersloot",2019,30,"CHI",4.1,33,33,991,30.03,135,4.091,299,9.061,104,3.152,192,5.818,31,0.939,107,3.242,68,2.061,80,2.424,123,3.727,20,0.606,143,4.333,300,9.091,45,1.364,15,0.455,96,2.909,50,1.515,369,11.182,0.452,0.85,0.542,0.29,0.503,9.192,2.095,117500
"46","Courtney Williams",2019,25,"CON",3.5,34,34,988,29.059,187,5.5,430,12.647,171,5.029,395,11.618,16,0.471,35,1.029,60,1.765,75,2.206,141,4.147,48,1.412,189,5.559,129,3.794,46,1.353,13,0.382,56,1.647,47,1.382,450,13.235,0.435,0.8,0.433,0.457,0.453,-0.639,0.016,59718
